Titulo,Link,Informacion,Email,Sitio,Direccion,Telefono,Telefono2
"Crear un e-market place BtoC para un determinado sector tematico
                ",http://www.nubelo.com/proyecto/crear-un-e-market-place-btoc-para-un-determinado-sector-tematico
"Programación de Aplicación Android Nativa + WebAPI
                ",http://www.nubelo.com/proyecto/programacion-de-aplicacion-android-nativa-webapi
"Desarrollo modulo Moodle
                ",http://www.nubelo.com/proyecto/desarrollo-modulo-moodle
"Aplicación web en raspberry o similar
                ",http://www.nubelo.com/proyecto/aplicacion-web-en-raspberry-o-similar
"Hacer un upgrade de Magento de 1.8.0.0 a 1.9.2.1
                ",http://www.nubelo.com/proyecto/hacer-un-upgrade-de-magento-de-1800-a-1921
"Solucionar problema con keyboard hook y keystroke para un ejecutable.
                ",http://www.nubelo.com/proyecto/solucionar-problema-con-keyboard-hook-y-keystroke-para-un-ejecutable
"Para algo particular
                ",http://www.nubelo.com/proyecto/para-algo-particular
"Redaccion y gestion de Blog
                ",http://www.nubelo.com/proyecto/redaccion-y-gestion-de-blog
"Diseñador para armar catálogo de productos (tiene que verse el catálogo en ese formato tanto digital como disponible para descargarlo)
                ",http://www.nubelo.com/proyecto/disenador-para-armar-catalogo-de-productos-tiene-que-verse-el-catalogo-en-ese-formato-tanto-digital-como-disponible-para-descargarlo
"Mejorar plantilla excel
                ",http://www.nubelo.com/proyecto/mejorar-plantilla-excel
"Profesional en Facebook ads y estrategias de Marketing
                ",http://www.nubelo.com/proyecto/profesional-en-facebook-ads-y-estrategias-de-marketing
"crear el logo de mi empresa
                ",http://www.nubelo.com/proyecto/crear-el-logo-de-mi-empresa-6
"Renovación Página Web Con Diferentes niveles de Acceso a la Información
                ",http://www.nubelo.com/proyecto/renovacion-pagina-web-con-diferentes-niveles-de-acceso-a-la-informacion
"Experto en citrix, problema 
                ",http://www.nubelo.com/proyecto/experto-en-citrix-problema
"Buscamos traductor de frases de español a  portugués (Portugués Nativo)
                ",http://www.nubelo.com/proyecto/buscamos-traductor-de-frases-de-espanol-a-portugues-portugues-nativo
"Incorporar animador a mi equipo para hacer vídeos animados
                ",http://www.nubelo.com/proyecto/incorporar-animador-a-mi-equipo-para-hacer-videos-animados
"Técnico de sonido directo para rodaje de documental en Paraguay, Colombia y Camerún
                ",http://www.nubelo.com/proyecto/tecnico-de-sonido-directo-para-rodaje-de-documental-en-paraguay-colombia-y-camerun
"Free Lancer´s Socioeconómicos
                ",http://www.nubelo.com/proyecto/free-lancer-s-socioeconomicos
"Comercio en Facebook
                ",http://www.nubelo.com/proyecto/comercio-en-facebook-2
"Comercio en Facebook
                ",http://www.nubelo.com/proyecto/comercio-en-facebook-1
"Comercio en Facebook
                ",http://www.nubelo.com/proyecto/comercio-en-facebook
"Maquetar entorno gestión con plantilla METRONIC
                ",http://www.nubelo.com/proyecto/maquetar-entorno-gestion-con-plantilla-metronic
"Redactor experto en ventas
                ",http://www.nubelo.com/proyecto/redactor-experto-en-ventas
"Web corporativa y tienda online Drupal
                ",http://www.nubelo.com/proyecto/web-corporativa-y-tienda-online-drupal
"Necesito una web responsive en Wordpress usando GeneratePress junto a Thrive Content Builder
                ",http://www.nubelo.com/proyecto/necesito-una-web-responsive-en-wordpress-usando-generatepress-junto-a-thrive-content-builder
"Redacción contenido para blog
                ",http://www.nubelo.com/proyecto/redaccion-contenido-para-blog
"Desarrollo web (metabuscador)
                ",http://www.nubelo.com/proyecto/desarrollo-web-metabuscador
